label,text
1,"reissued after periodic review with minor edits. exercise normal precautions in australia. read the country information page for additional information on travel to australia. if you decide to travel to australia: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. review the country security report for australia. prepare a plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage."
1,reissued after periodic review without changes. exercise normal precautions in aruba. read the country information page for additional information on travel to aruba. if you decide to travel to aruba: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for the dutch caribbean. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel.
2,"reissued after periodic review with minor edits. exercise increased caution in azerbaijan due to terrorism. some areas have increased risk. read the entire travel advisory. do not travel to: the border region with armenia due to potential for armed conflict. the former soviet-era nagorno karabakh autonomous oblast and surrounding territories due to landmines. country summary: terrorist groups continue to plan attacks and are a risk in azerbaijan. terrorists may attack with little or no warning. they may target: tourist locations transportation centers airports markets and shopping malls local government buildings hotels, clubs and restaurants places of worship parks major sporting and cultural events educational institutions other public areas read the country information page for additional information on travel to azerbaijan. if you decide to travel to azerbaijan: enroll in the smart traveler enrollment program step to receive messages and alerts from the u.s. embassy and make it easier to locate you in an emergency. review the country security report for azerbaijan. prepare a plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage. level : do not travel - border with armenia there is the potential for fighting along the azerbaijan-armenia border. u.s. citizens should avoid the area. exercise caution on roads near azerbaijans border with armenia: be aware that some portions of the road may cross international boundaries without notice. roads may be controlled by checkpoints or closed to travelers without notice. due to the risks, u.s. government employees working in azerbaijan are prohibited from non-essential travel to the border region. visit our website for travel to high-risk areas. level : do not travel - former soviet-era nagorno karabakh autonomous oblast and surrounding territories following armed hostilities in , the former soviet-era nagorno karabakh autonomous oblast and surrounding territories are under the control of azerbaijan. despite the cessation of fighting, the dangers posed by landmine contamination continue. due to the risks, the u.s. government is unable to provide emergency services to u.s. citizens in the former soviet-era nagorno karabakh autonomous oblast and surrounding territories, because u.s. government employees are prohibited from traveling there and azerbaijan restricts access to the region. visit our website for travel to high-risk areas."
2,"exercise increased caution in bosnia and herzegovina due to terrorism, crime, and land mines . country summary: terrorist groups continue plotting possible attacks in bosnia and herzegovina. terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, marketsshopping malls, local government facilities, hotels, clubs, restaurants, places of worship, parks, major sporting and cultural events, educational institutions, airports, and other public areas. theft and other crimes of opportunity are common, especially against tourists. violent crimes, such as robbery and murder, also occur due to the availability of firearms remaining from the war. minefields and land mines are present throughout bosnia and herzegovina. while suspected hazardous areas are normally clearly marked, several people are killed or injured each year. read the country information page for additional information on travel to bosnia and herzegovina. if you decide to travel to bosnia and herzegovina: be aware of your surroundings and maintain situational awareness when traveling to tourist locations and crowded public venues. monitor local media for breaking events and adjust your plans based on new information. remain on hard-surfaced roads and stay out of abandoned buildings due to risks from land mines. enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for bosnia and herzegovina. visit the cdc page for the latest travel health information related to your travel. prepare a contingency plan for emergency situations. review the travelers check"
1,reissued after periodic review with minor edits. exercise normal precautions in barbados. read the country information page for additional information on travel to barbados. if you decide to travel to barbados: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for barbados. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel.
3,"reissued after periodic review with minor edits. reconsider travel to bangladesh due to civil unrest, crime, and terrorism . some areas have increased risk. read the entire travel advisory. level : do not travel the khagrachari, rangamati, and bandarban hill tracts districts collectively known as the chittagong hill tracts due to communal violence, crime, terrorism, kidnapping, and other security risks . country summary: since summer , civil unrest and violent clashes have largely subsided with the formation of the interim government. occasional protests continue with potential for violent clashes. conditions may change on short notice. u.s. citizens are reminded to avoid all gatherings, even peaceful ones, since they could turn violent with little or no warning. travelers should be aware of petty crime, such as pickpocketing in crowded areas. in addition, crimes such as muggings, burglaries, assaults, and illegal drug trafficking constitute most criminal activity in bangladeshs major cities, but there are no indications foreigners are targeted because of their nationality. these crimes tend to be situational, based on time and location. there is risk of terrorist violence, including terrorist attacks and other activity in bangladesh. visit the u.s. department of state's country reports on terrorism to learn more. due to the risks, u.s. government employees working in bangladesh are prohibited from non-essential travel within dhaka outside of the diplomatic enclave. due to the risks, u.s. government employees working in bangladesh must obtain special authorization to travel outside of dhaka. authorization is not required for travel to coxs bazar or sylhet. the u.s. government may have limited ability to provide emergency services to u.s. citizens in bangladesh, particularly outside of dhaka, due to these travel restrictions, a lack of infrastructure, and limited host government emergency response resources. read the country information page for additional information on travel to bangladesh. if you decide to travel to bangladesh: avoid demonstrations and political gatherings; demonstrations intended to be peaceful can turn confrontational and quickly escalate into violence. monitor local media for breaking events and be prepared to adjust plans. do not physically resist any robbery attempt. get to a safe area and report any criminal incident to local authorities. enroll in the smart traveler enrollment program step to receive alerts including updates on consular services and so it is easier to locate you in an emergency. review the country security report for bangladesh. visit the cdc page for the latest travel health information related to your travel. prepare a contingency plan for emergency situations. please review the travelers checklist . we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage. visit our website for travel to high-risk areas. chittagong hill tracts region level : do not travel the khagrachari, rangamati, and bandarban hill tracts districts collectively known as the chittagong hill tracts experience occasional communal violence, crime, terrorism, kidnapping, and other security risks . kidnappings have occurred in the region, including those motivated by domestic or familial disputes, and those targeting members of religious minorities. separatist organizations and political violence also pose additional threats to visitors to the region, and there have been instances of ied explosions and active shooting. prior approval from the government of bangladeshs ministry of home affairs office of public safety is required if you plan to travel to these areas. due to the risks, u.s. government employees working in bangladesh are prohibited from traveling to the region. do not travel to these areas for any reason. visit our website travel to high-risk areas . do not travel to these areas for any reason."
2,"reissued after periodic review with minor edits. exercise increased caution in belgium due to terrorism. country summary: there is a risk of terrorist violence, including terrorist attacks and other related activities in belgium. terrorists may attack with little or no warning. they target: tourist locations transportation hubs e.g. airports, train stations, mass transit markets and shopping malls local government buildings hotels, clubs, and restaurants places of worship parks major sporting, music, and cultural events schools public areas visit the u.s. department of state's country reports on terrorism to learn more. read the country information page for additional information on travel to belgium. if you decide to travel to belgium: stay alert in tourist spots. enroll in the smart traveler enrollment program step to receive messages and alerts from the u.s. embassy and make it easier to locate you in an emergency. review the country security report for belgium. prepare a plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage."
4,"updated to reflect changes for travelers with dual nationality do not travel to burkina faso for any reason due to terrorism, crime, and kidnapping. country summary: terrorist organizations continue to plan and conduct terrorist activities throughout burkina faso. terrorism terrorists may attack anywhere with little or no warning and may utilize various tactics including the use of common, commercially available items or the use of kidnapping for ransom. targets may include but are not limited to: hotels restaurants police stations customs offices areas at or near mining sites places of worship military posts schools visit the u.s. department of state's country reports on terrorism to learn more. the threat of kidnapping remains persistent throughout burkina faso, including in ouagadougou and especially in the sahel and east regions. state of emergency the transition authorities of burkina faso have maintained a state of emergency in the following territories: the entire saheland east regions the provinces of kossi and sourou boucle de mouhoun region the province of kenedougou hauts bassins region the province of loroum north region the province of koulpelogo center-east region due to the risks, the u.s. government is unable to provide emergency services to u.s. citizens in most of the country. u.s. government employees working in burkina faso are prohibited from traveling to regions outside the capital due to security concerns. due to a historically high crime rate, the u.s. embassy discourages u.s. government personnel from nighttime travel to the balkiui and rayongo also known as dayongo neighborhoods of ouagadougous arrondissement . for travelers with dual nationality, local authorities may not recognize your u.s. nationality if you are also a national of burkina faso. read the dual-nationality-traveler page for additional information about traveling with a dual nationality. read the country information page for additional information on travel to burkina faso. if you decide to travel to burkina faso: visit our website for travel to high-risk areas . have evacuation plans that do not rely on u.s. government assistance. take steps to lower your risk of becoming a victim of violence, including limiting trips to places frequented by tourists. do not physically resist any robbery attempt. review your personal security plans. remain aware of your surroundings and local events. draft a will and designate appropriate insurance beneficiaries andor power of attorney. enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. review the country security report for burkina faso. prepare a backup plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel."
1,"there were no changes to the advisory level or risk indicators. advisory summary was updated. advisory sumary exercise normal precautions in bulgaria. if you decide to travel to bulgaria: enroll in the smart traveler enrollment program step to get important updates and alerts from the u.s. embassy or consulate. enrolling helps the u.s. embassy or consulate contact you or your emergency contact in an emergency. review the country security report for bulgaria. whether youre a first time or frequent traveler, use the international travel checklist . visit the centers for disease control and prevention cdc website for the latest travel health information for bulgaria. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage."
2,"reissued after periodic review without changes. exercise increased caution in bahrain due to terrorism . country summary: terrorist groups continue plotting possible attacks in bahrain. terrorists may attack with little or no warning. targets may include tourist sites, transportation hubs, markets, shopping malls, and government facilities. read the country information page for additional information on travel to bahrain. if you decide to travel to bahrain: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. stay alert in locations frequented by touristswesterners. be aware of your surroundings. follow the department of state on facebook and xtwitter . review the country security report for bahrain. visit the cdc page for the latest travel health information related to your travel. prepare a contingency plan for emergency situations. review the travelers checklist ."
2,"reissued to update information on crime, terrorism, and kidnapping. risks due to maritime crime other is removed. exercise increased caution in benin due to crime, kidnapping, and terrorism. some areas have increased risk. read the entire travel advisory. do not travel to the below areas of benin due to crime, terrorism, and kidnapping: the city of kandi and all areas north and east extending to benins borders with burkina faso, niger, and nigeria. the city of tanguieta and all areas north and west extending to benins borders with burkina faso and togo. the pendjari and w national parks the pendjari, atacora, and djona hunting zones route nationale inter-etats rnie between banikora and segbana route nationale rn between nikki and segbana country summary: bandits, criminal organizations, and terrorist groups are active in benin, particularly in areas of benin bordering burkina faso and niger. attacks in these areas can occur with little or no warning, and could target shops, markets, hotels, places of worship, restaurants, bars, schools, government installations, transportation hubs, and other places where crowds gather. violent attacks are far more likely in the northern areas of benin than in the southern and coastal areas. crimes such as robbery and assault occur in benin. these crimes often happen at night and in isolated locations. crime occurs more frequently in urban areas and crowded markets. read the country information page for additional information on travel to benin. if you decide to travel to benin: monitor local media for breaking events and adjust your plans. use caution when walking or driving at night. be aware of your surroundings. keep a low profile. do not display signs of wealth, such as expensive watches or jewelry. do not physically resist any robbery attempt. develop a communication plan with family andor your employer or host organization. enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook , threads and x . review the country security report for benin. obtain comprehensive travel medical insurance that includes medical evacuation prior to travel. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel. level : do not travel - areas of benin bordering burkina faso, niger, and the nigerian states of kebbi, niger, and kwara violent attacks may occur in these areas with little or no warning. bandits, criminal organizations, and terrorist groups have carried out attacks in areas of southern burkina faso, southern niger, and northern benin including near park pendjari, park w, and adjacent hunting zones. foreign nationals and residents traveling in these areas have been kidnapped in park pendjari. bandits, criminal organizations, and terrorist groups are active in the vicinity of kandi and tanguieta and in the northeastern border region between benin and nigeria, specifically in the border region north of nikki. foreign nationals and residents are at risk of kidnapping in this region. the u.s. government has limited ability to provide routine or emergency consular services to u.s. citizens in benins northern border areas. u.s. government employees under chief of mission security responsibility are prohibited from personal travel and must obtain special authorization for official travel to the areas described above. visit our website for travel to high-risk areas ."
1,reissued after periodic review with minor edits. exercise normal precautions in bermuda. read the country information page for additional information on travel to bermuda. if you decide to travel to bermuda: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and xtwitter . review the country security report for bermuda. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel.
1,"reissued after periodic review with minor edits . exercise normal precautions in brunei. read the country information page for additional information on travel to brunei. if you decide to travel to brunei: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. review the country security report for brunei. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage. read the country information page for additional information on travel to brunei."
2,"reissued after annual review. exercise increased caution in bolivia due to civil unrest. some areas have increased risk. read the entire travel advisory. do not travel to: chapare region due to crime. country summary : demonstrations, strikes, and roadblocks can occur at any time in bolivia. demonstrations can result in violence. roadblocks and strikes may cut off traffic and restrict the flow of goods and services around the country. domestic and international flights may be delayed or unexpectedly cancelled. read the country information page for additional information on travel to bolivia. if you decide to travel to bolivia: monitor local media for breaking events and be prepared to adjust your plans. contact your airline or travel agency prior to travel. avoid demonstration and crowds. enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook , twitter , and instagram . review the country security report for bolivia. prepare a contingency plan for emergency situations. review the travelers checklist . chapare region: do not travel due to a high level of violent crime , the u.s. government is limited in its ability to provide emergency services to u.s. citizens in the chapare region. u.s. government employees must obtain special authorization to travel there. visit our website for travel to high-risk areas ."
2,"updated to add risk indicator for kidnapping . exercise increased caution in brazil due to crime and kidnapping. some areas have increased risk. read the entire travel advisory. do not travel to these areas due to crime: anywhere within km miles of brazils land borders with bolivia, colombia, guyana, french guiana, paraguay, peru, suriname, and venezuela. this restriction does not apply to the foz do iguacu national park or pantanal national park. informal housing developments, such as favelas, vilas, comunidades, or conglomerados, at any time. brasilias satellite cities at night. this includes ceilandia, santa maria, sao sebastiao, and paranoa. country summary: violent crime, including murder, armed robbery, and carjacking, can occur in urban areas, day and night. there was a kidnapping for ransom of u.s. travelers. gang activity and organized crime are widespread and often tied to the recreational drug trade. assaults, including with sedatives and drugs placed in drinks, are common, especially in rio de janeiro. criminals target foreigners through dating apps or at bars before drugging and robbing their victims. u.s. government employees are advised not to use municipal buses in brazil because of a serious risk of robbery and assault, especially at night. if you decide to travel to brazil: stay aware of your surroundings. do not physically resist any robbery attempt. do not accept food or drinks from strangers and always watch your drinks. use caution when walking or driving at night. avoid going to bars or nightclubs alone. avoid walking on beaches after dark. do not display signs of wealth, such as expensive watches or jewelry. be alert to date drug scams. stay alert when visiting banks or atms. be careful at major transportation centers or on public transport, especially at night. passengers are at higher risk of robbery or assault when using public buses in brazil. use increased caution when hiking in isolated areas. develop a communication plan with family, employer, or host organization so they can monitor your safety and location as you travel through high-risk areas. specify how you'll confirm you're safe text, calls, etc., how often, and who you'll contact first to share the information. enroll in the smart traveler enrollment program step to receive messages and alerts from the u.s. embassy and make it easier to locate you in an emergency. review the country security report for brazil. prepare a plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage. international borders level : do not travel given security risks, u.s. government employees working in brazil must obtain special authorization to travel within km miles of the international land borders with bolivia, colombia, guyana, french guiana, paraguay, peru, suriname, and venezuela. travel to the foz do iguacu national park and pantanal national park is allowed. do not travel to these areas for any reason. visit our website for travel to high-risk areas . informal housing developments commonly known as favelas, vilas, comunidades or conglomerados level : do not travel given crime concerns, u.s. government employees working in brazil must obtain special authorization to travel to informal housing developments in brazil. do not travel to informal housing developments, even on guided tours. neither tour companies nor police can guarantee your safety when entering these communities. even in areas that police or local governments deem safe, the situation can change quickly. while some informal housing developments have clear boundaries, other such areas may be less obvious, and may be identified by crowded quarters, impoverished conditions, or irregular construction. exercise caution near these communities as gang fighting and police clashes sometimes move beyond the confines of these areas. check the safety and security section on the country information page and consult the maps on the embassys website for details about favelas. do not travel to these areas for any reason. visit our website for travel high-risk areas . brasilias satellite cities level : do not travel given crime risks, u.s. government employees working in brazil must obtain special authorization to travel to brasilias administrative regions of ceilandia, santa maria, sao sebastiao, and paranoa between : p.m. and : a.m. do not travel to these areas for any reason. visit our website for travel to high-risk areas ."
2,"updated to reflect crime, swimming-related risks, and information on traveling with firearms and ammunition. exercise increased caution due to crime . country summary: violent crimelike armed robberies, burglaries, and sexual assaultscan occur anywhere in the bahamas. most crime occurs in nassau and freeport on new providence and grand bahama islands. stay alert in the over the hill area in nassau, south of shirley street, where gangs have killed residents. stay alert in vacation rental properties, especially where private security is not present. jet skis and boating boating is not well regulated. injuries and deaths have occurred. sexual assaults by jet ski operators have also been reported. due to the risks, u.s. government employees are prohibited from using jet skis and personal watercraft rented from independent operators on new providence and paradise islands. watercraft may not be safe, and some operators are not licensed or insured. watercraft operators sometimes ignore weather forecasts. always follow local weather and marine alerts. beach safety never swim alone and beware of jet skis or other watercraft operating close to shore. sexual assaults have occurred on and near downtown nassau beaches. be aware of your surroundings and stay alert in public restrooms. be aware of your own fitness and swimming capabilities. if you are new to snorkeling, understand the risks. swimmers and snorkelers have died after overestimating their physical fitness or health. stay alert for sharks. shark attacks have led to serious injuries and death. be aware of weather and water conditions and follow local warnings. weapons and ammunition firearms and ammunition are illegalincluding small quantities brought by mistake in carry-on bags or luggage. police strictly enforce these lawseven at the airport when travelers are leaving. travelers with firearms or ammunition can face arrest, jail time, and fines. authorities have detained u.s. citizens for several days or more after finding firearms or ammunition, preventing them from leaving. read the country information page for additional information on travel to the bahamas. if you decide to travel to the bahamas: do not answer your door at your hotel or residence unless you know who it is. lock doors and windows and use other security features, especially on balcony doors. do not physically resist any robbery attempt. check your luggage and hand baggage carefully for bullets or firearms before leaving the united states. do not bring these items to the bahamas. enroll in the smart traveler enrollment program step to receive messages and alerts from the u.s. embassy and make it easier to locate you in an emergency prepare a plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel and return to the united states. we highly recommend that you buy insurance before you travel. check with your travel insurance provider about evacuation assistance, medical insurance, and trip cancellation coverage."
1,reissued after periodic review without changes. exercise normal precautions in bhutan. read the country information page for additional information on travel to bhutan. if you decide to travel to bhutan: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. follow the department of state on facebook and twitter . review the country security report for bhutan. visit the cdc page for the latest travel health information related to your travel. prepare a contingency plan for emergency situations. review the travelers checklist .
2,"updated to include information on crime. exercise increased caution in botswana due to crime. country summary: crimes of opportunity, primarily the theft of money and personal property, are common in botswana. potentially violent crimes, such as home invasions, break-ins, smash and grabs from vehicles stopped at intersections and from locked cars in shopping mall parking lots, cell phone thefts, and muggings are routinely reported to police. read the country information page for additional information on travel to botswana. if you decide to travel to botswana: enroll in the smart traveler enrollment program step to receive alerts and make it easier to locate you in an emergency. do not physically resist any robbery attempt. carry a copy of your passport and visa if applicable and leave originals in your hotel safe. do not display signs of wealth, such as expensive watches or jewelry. follow the department of state on facebook and twitter . review the country security report for botswana. prepare a contingency plan for emergency situations. review the travelers checklist . visit the cdc page for the latest travel health information related to your travel."
