label,text_advisory
4,"Do not travel to Sudan due to crime, terrorism, civil unrest, kidnapping, and armed conflict. On April 11, 2019, the Department ordered the departure of non-emergency U.S. government employees. Violent crime, such as kidnapping, armed robbery, home invasion, and carjacking, is common. Terrorist groups continue to pose a threat in Sudan. Terrorist groups in Sudan may harm Westerners and Western interests through suicide operations, bombings, shootings, and kidnappings. They may attack with little or no warning, targeting foreign and local government facilities, and areas frequented by Westerners. There is a national state of emergency in effect across Sudan, which gives security forces greater arrest and incarceration powers. Security forces have enhanced authority to detain and arrest anybody they deem to be undermining public order, including protestors or those suspected of supporting the protests. Detentions, including of foreigners, have been reported across the country. Curfews and checkpoints on roads may be imposed with little or no warning. The Sudanese government does not recognize dual citizenship and is likely to consider U.S.-Sudanese dual citizens as Sudanese citizens only. Demonstrations, including anti-Western rallies, can occur with no warning. Demonstrations, both announced and unannounced, have occurred frequently throughout Sudan since December 19, 2018. Police and other security forces may respond to public demonstrations suddenly and with violence. Demonstrations are also common before and after Friday prayers. Foreigners could be targeted in reaction to national and international events. Tensions remain high between the Government of the Republic of the Sudan and opposition forces and violence continues along the border between Chad and Sudan and areas that border South Sudan (including the disputed Abyei area). Armed opposition groups are active in Central Darfur state and parts of Blue Nile and South Kordofan states. The U.S. government has limited ability to provide emergency services to U.S. citizens in Sudan, as U.S. government employees must obtain special authorization from the Sudanese government to travel outside of Khartoum. The U.S. Embassy requires U.S. government personnel in Sudan to use armored vehicles for official travel. Visit our website for Travel to High-Risk Areas . Have evacuation plans that do not rely on U.S. government assistance. Draft a will and designate appropriate insurance beneficiaries and/or a power of attorney. Discuss a plan with loved ones regarding care/custody of children, pets, property, belongings, non-liquid assets (collections, artwork, etc.), funeral wishes, and the like. Share important documents, login information, and points of contact with loved ones so that they can manage your affairs if you are unable to return as planned to the United States. Find a suggested list of such documents here . Be sure to appoint one family member to serve as the point of contact with hostage-takers, media, U.S. and host country government agencies, and Members of Congress, if you are taken hostage or detained. Establish a proof of life protocol with your loved ones, so that if you are taken hostage, your loved ones can know specific questions and answers to ask the hostage-takers to be sure that you are alive and to rule out a hoax. Leave DNA samples with your medical provider in case it is necessary for your family to access them. Erase any sensitive photos, comments, or other materials from your social media pages, cameras, laptops, and other electronic devices that could be considered controversial or provocative by local groups. Leave your expensive/sentimental belongings behind. Last Update: Reissued with updates to Travel Advisory Level, U.S. government restrictions on personnel, and “If you decide to travel” section."
2,"Exercise increased caution in Cuba due to attacks targeting U.S. Embassy Havana employees resulting in the drawdown of embassy staff. Numerous U.S. Embassy Havana employees appear to have been targeted in specific attacks. We are unable to identify the source. Many of these employees have suffered injuries. Affected individuals have exhibited a range of physical symptoms including ear complaints and hearing loss, dizziness, headaches, fatigue, cognitive issues, visual problems, and difficulty sleeping. Attacks have occurred in U.S. diplomatic residences (including a long-term apartment at the Atlantic) and at Hotel Nacional and Hotel Capri in Havana. The U.S. Embassy in Havana is operating with reduced staffing. Family members cannot accompany U.S. government employees who work in Cuba. Avoid Hotel Nacional and Hotel Capri. If you experience any acute auditory or sensory phenomena, immediately move to another area. Know where to seek medical care in Cuba. Consult with a medical professional prior to traveling if you have personal health concerns or upon return if you believe you have suffered symptoms similar to those listed above. Review the Traveler’s Checklist ."
3,"Reconsider travel to Guinea-Bissau due to crime and civil unrest . Violent crime is common in Guinea-Bissau. Aggressive vendors, panhandlers, and occasionally criminals target foreigners at the Bissau airport and other crowded areas, especially Bandim Market in the center of the capital. Local police lack the resources, capacity, and training to respond effectively to serious criminal incidents. The country has been beset by chronic political and institutional dysfunction for decades, and there is the potential for violence. The U.S. government has limited ability to provide emergency services to U.S. citizens because there is no U.S. Embassy in Guinea-Bissau. Visit our website for Travel to High-Risk Areas . Avoid demonstrations. Be aware of your surroundings. Do not display signs of wealth, such as wearing expensive watches or jewelry. Only travel during daylight. Monitor local media for breaking events, and adjust your plans based on new information. Make contingency plans to leave. Last Update: Reissued with updates to the Risk Indicators."
2,"Exercise increased caution in Eritrea due to travel restrictions, limited consular assistance , and landmines. The U.S. government has limited ability to provide emergency services to U.S. citizens in Eritrea, as U.S. government employees must obtain special authorization to travel outside of Asmara. Eritrean law enforcement officials routinely block access to foreign nationals in detention. The U.S. Embassy therefore may not receive notification or be allowed access to you if you are detained or arrested. There are landmines in many remote areas in Eritrea, particularly in Nakfa, AdiKeih, Arezza, the 25 mile-wide region (40 km) between the Setit and Mereb Rivers, and in areas north and west of Keren, areas near Massawa, Ghinda, Agordat, Barentu, Dekemhare, and south of Tessenae. Use caution when walking and hiking in remote areas or off main roads. Always carry a copy of your U.S. passport and visa (if applicable). Keep original documents in a secure location. Last Update: Reissued after periodic review with updates to Level 3 area(s)."
2,"Exercise increased caution in Morocco due to terrorism. Terrorist groups continue plotting possible attacks in Morocco. Terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, markets/shopping malls, and local government facilities. Stay alert in locations frequented by Westerners. Avoid demonstrations and crowds. Follow the Department of State on Twitter and Facebook . Last Update: Raised to Level 2 due to terrorism after periodic review."
2,"Exercise increased caution in Germany due to terrorism . Terrorist groups continue plotting possible attacks in Germany. Terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, markets/shopping malls, local government facilities, hotels, clubs, restaurants, places of worship, parks, major sporting and cultural events, educational institutions, airports, and other public areas. Be aware of your surroundings when traveling to tourist locations and crowded public venues. Follow the instructions of local authorities. Monitor local media for breaking events and adjust your plans based on new information. Review the Traveler’s Checklist ."
2,"Exercise increased caution in Jamaica due to crime . Some areas have increased risk. Read the entire Travel Advisory. Violent crimes, such as home invasions, armed robberies, sexual assaults, and homicides are common. Sexual assaults occur frequently, including at all-inclusive resorts. Local police lack the resources to respond effectively to serious criminal incidents. Emergency services vary throughout the island, and response times may vary from U.S. standards. U.S. government personnel are prohibited from traveling to areas listed below, from using public buses, and from driving outside of prescribed areas of Kingston at night. Do not travel to: The below-listed areas of Kingston due to crime . The below-listed areas of Montego Bay due to crime . Spanish Town due to crime . Kingston Violence and shootings occur regularly in some areas of Kingston. Do not travel to the following areas: Cassava Piece Downtown Kingston, defined as between Mountain View Avenue and Hagley Park Road, and south of Half Way Tree and Old Hope Roads. Downtown Kingston includes Trench Town, Tivoli Gardens, and Arnett Gardens. Grants Pen Standpipe Visit our website for Travel to High-Risk Areas . Montego Bay Violence and shootings occur regularly in some areas of Montego Bay. Do not travel to the following areas: Canterbury Clavers Street Flankers Hart Street Norwood Rose Heights Visit our website for Travel to High-Risk Areas . Spanish Town Do not travel to Spanish Town. Violence and shootings occur regularly in Spanish Town. Visit our website for Travel to High-Risk Areas Avoid walking or driving at night. Avoid public buses. Avoid secluded places or situations. Do not physically resist any robbery attempt. Be aware of your surroundings and keep a low profile. Last Update: Reissued after periodic review with updates to information on crime."
2,"Exercise increased caution when traveling in Algeria due to terrorism . Some areas have increased risk. Read the entire Travel Advisory. Do not travel to: Areas near the eastern and southern borders due to terrorism and kidnapping . Areas in the Sahara Desert due to terrorism and kidnapping . Terrorist groups continue plotting possible attacks in Algeria. Terrorists may attack with little or no warning and have recently targeted the Algerian security forces. Most attacks take place in rural areas, but attacks are possible in urban areas despite a heavy and active police presence. The U.S. government has limited ability to provide emergency services to U.S. citizens outside Algiers province due to Algerian government restrictions on travel by U.S. government employees. Inform local police when visiting locations outside of major cities. Travel by air if possible; remain on major highways if you must travel by road. Travel with reputable travel agents who know the area. Avoid staying overnight outside of the main cities and tourist locations. Eastern and southern borders—Level 4: Do Not Travel Avoid travel to rural areas within 50 km (31 miles) of the border with Tunisia and within 250 km (155 miles) of the borders with Libya, Niger, Mali, and Mauritania due to terrorist and criminal activities, including kidnapping. Visit our website for High-Risk Travelers . Overland travel to the Sahara Desert—Level 4: Do Not Travel Do not travel overland in the Sahara Desert due to terrorist and criminal activity, including kidnapping. Visit our website for High-Risk Travelers . Last Update: Reissued with updates to the Risk Indicators."
3,"Reconsider travel to Turkey due to terrorism and arbitrary detentions . Some areas have increased risk. Read the entire Travel Advisory. Do not travel to: Areas near the Syria and Iraq borders due to terrorism and kidnapping . Terrorist groups continue plotting possible attacks in Turkey. Terrorists may attack with little or no warning, targeting tourist locations, transportation hubs, markets/shopping malls, local government facilities, hotels, clubs, restaurants, places of worship, parks, major sporting and cultural events, educational institutions, airports, and other public areas. Terrorists have also previously targeted Western tourists and expatriates. Security forces have detained tens of thousands of individuals, including U.S. citizens, for alleged affiliations with terrorist organizations based on scant or secret evidence and grounds that appear to be politically motivated. U.S. citizens have also been subject to travel bans that prevent them from departing Turkey. Participation in demonstrations not explicitly approved by the Government of Turkey, as well as criticism of the government, including on social media, can result in arrest. The U.S. government has very limited ability to provide emergency services to U.S. citizens traveling in Batman, Bingol, Bitlis, Diyarbakir, Gaziantep, Hakkari, Hatay, Kilis, Mardin, Sanliurfa, Siirt, Sirnak, Tunceli, and Van, as the U.S. government restricts its employees from traveling to specific provinces in these regions without prior approval. Stay alert in locations frequented by Westerners. Avoid demonstrations and crowds. Stay at hotels with identifiable security measures. Monitor local media and adjust your plans based on new information. Visit our website for Travel to High-Risk Areas . Areas Near Syrian and Iraq Borders – Level 4: Do Not Travel Do not travel near the Turkey/Syria and Turkey/Iraq borders due to the continued threat of civil war in Syria and threat of kidnapping and attacks by terrorist groups. Terrorist attacks, including suicide bombings, ambushes, car bomb detonations, and improvised explosive devices, as well as shootings, roadblocks, and violent demonstrations have occurred in these areas. Visit our website for Travel to High-Risk Areas . Last Update: Reissued with updates to the Risk Indicators."
4,"Do not travel to Afghanistan due to crime, terrorism, civil unrest, kidnapping, and armed conflict . Travel to all areas of Afghanistan is unsafe because of critical levels of kidnappings, hostage taking, suicide bombings, widespread military combat operations, landmines, and terrorist and insurgent attacks, including attacks using vehicle-borne, magnetic, or other improvised explosive devices (IEDs), suicide vests, and grenades. Terrorist and insurgent groups continue planning and executing attacks in Afghanistan. These attacks occur with little or no warning, and have targeted official Afghan and U.S. government convoys and facilities, local government buildings, foreign embassies, military installations, commercial entities, non-governmental organization (NGO) offices, hospitals, residential compounds, tourist locations, transportation hubs, public gatherings, markets and shopping areas, places of worship, restaurants, hotels, universities, airports, schools, gymnasiums, and other locations frequented by U.S. citizens and other foreign nationals. The U.S. Embassy's ability to provide routine and emergency services to U.S. citizens in Afghanistan is severely limited, particularly outside of Kabul. Evacuation options from Afghanistan are extremely limited due to the lack of infrastructure, geographic constraints, and the volatile security situation. Family members cannot accompany U.S. government employees who work in Afghanistan. Unofficial travel to Afghanistan by U.S. government employees and their family members is restricted and requires prior approval from the Department of State. U.S. Embassy personnel are restricted from traveling to all locations in Kabul except the U.S. Embassy and other U.S. government facilities unless there is a compelling U.S. government interest in permitting such travel that outweighs the risk. Additional security measures are needed for any U.S. government employee travel and movement through Afghanistan. Due to risks to civil aviation operating within or in the vicinity of Afghanistan, the Federal Aviation Administration (FAA) has issued a Notice to Airmen (NOTAM) and/or a Special Federal Aviation Regulation (SFAR). For more information, U.S. citizens should consult the Federal Aviation Administration’s Prohibitions, Restrictions and Notices . Visit our website for Travel to High-Risk Areas . Draft a will and designate appropriate insurance beneficiaries and/or power of attorney. Discuss a plan with loved ones regarding care/custody of children, pets, property, belongings, non-liquid assets (collections, artwork, etc.), funeral wishes, etc. Share important documents, login information, and points of contact with loved ones so that they can manage your affairs, if you are unable to return as planned to the United States. Consider signing a power of attorney. Establish your own personal security plan in coordination with your employer or host organization, or consider consulting with a professional security organization. Carry a communication device and, where possible, ride in armored vehicles. Notify a trusted person of your travel itinerary and contact information. Avoid discussing your movement plans in public where you can be overheard or with persons who do not have the need to know. Obtain medical evacuation insurance with a company that operates in Afghanistan and obtain a list of clinics and hospitals that may be used as an evacuation point. Last Update: Reissued with updates to the Risk Indicators"
2,"Exercise increased caution in Guatemala due to crime . Some areas have increased risk. Read the entire Travel Advisory. Reconsider travel to: Guatemala department due to crime . Escuintla department due to crime . Chiquimula department due to crime . Quetzaltenango department due to crime . Izabal department due to crime . Petén department due to crime . Violent crime, such as armed robbery and murder, is common. Gang activity, such as extortion, violent street crime, and narcotics trafficking, is widespread. Local police may lack the resources to respond effectively to serious criminal incidents. Consider hotels that offer secure parking, doormen, and a dedicated and professional security staff. Request security escorts, available for tourist groups, from the Guatemalan Tourism Institute (INGUAT). Be aware of your surroundings. Avoid walking or driving at night. Do not physically resist any robbery attempt. Do not use public ATMs. Do not display signs of wealth, such as wearing expensive watches or jewelry. Guatemala Department– Level 3: Reconsider Travel Violent crime, such as armed robbery and murder, is common. Gang activity, such as extortion, violent street crime, and narcotics trafficking, is widespread. Local police may lack the resources to respond effectively to serious criminal incidents. The following zones are of particular concern in Guatemala City due to crime: 5, 6, 7, 12, 13, 17, 18, 19, 21, and 24. Guatemala International Airport is located in Zone 13. Take appropriate security measures when traveling to and from the airport. Do not hail taxis on the street in Guatemala City. Use radio-dispatched taxis (Taxi Amarillo), INGUAT approved taxis from the “SAFE” stand from the airport or hotel taxis. Avoid areas outside of major roads and highways in the Guatemala Department and listed zones in Guatemala City. Visit our website for Travel to High-Risk Areas . Escuintla Department – Level 3: Reconsider Travel Violent crime, such as armed robbery and murder, is common. Gang activity, such as extortion, violent street crime, and narcotics trafficking, is widespread. Local police may lack the resources to respond effectively to serious criminal incidents. Avoid areas outside of major roads and highways. Visit our website for Travel to High-Risk Areas . Chiquimula Department– Level 3: Reconsider Travel Violent crime, such as armed robbery and murder, is common. Gang activity, such as extortion, violent street crime, and narcotics trafficking, is widespread. Local police may lack the resources to respond effectively to serious criminal incidents. Avoid areas outside of major roads and highways. Visit our website for Travel to High-Risk Areas . Quetzaltenango Department – Level 3: Reconsider Travel Violent crime, such as armed robbery and murder, is common. Gang activity, such as extortion, violent street crime, and narcotics trafficking, is widespread. Local police may lack the resources to respond effectively to serious criminal incidents. Avoid areas outside of major roads and highways. Visit our website for Travel to High-Risk Areas . Izabal Department – Level 3: Reconsider Travel Violent crime, such as armed robbery and murder, is common. Gang activity, such as extortion, violent street crime, and narcotics trafficking, is widespread. Local police may lack the resources to respond effectively to serious criminal incidents. Avoid areas outside of major roads and highways. Visit our website for Travel to High-Risk Areas . Petén Department – Level 3: Reconsider Travel Violent crime, such as armed robbery and murder, is common. Gang activity, such as extortion, violent street crime, and narcotics trafficking, is widespread. Local police may lack the resources to respond effectively to serious criminal incidents. Tikal is located in Peten Department. Fly directly into Flores airport if possible. Visit our website for Travel to High-Risk Areas . Last Update: Reissued after periodic review with updates to a Level 3 area."
